Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
"CHM 1004","04/27/2026","5:40 PM","04/27/2026","6:30 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","04/27/2026","2:30 PM","04/27/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 3500","04/29/2026","12:50 PM","04/29/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","04/29/2026","4:10 PM","04/29/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"MSC 1003","04/29/2026","10:45 AM","04/29/2026","12:00 PM","Music in Civilization","Newman Vertical Campus Rm 7-150","false"
"CHM 1004","04/29/2026","5:40 PM","04/29/2026","8:10 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","04/29/2026","2:30 PM","04/29/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 4560","05/03/2026","11:10 AM","05/03/2026","2:05 PM","Ethical Hacking","Newman Vertical Campus Rm 4-220","false"
"CIS 3500","05/04/2026","12:50 PM","05/04/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","05/04/2026","4:10 PM","05/04/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"CHM 1004","05/04/2026","5:40 PM","05/04/2026","6:30 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","05/04/2026","2:30 PM","05/04/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 3500","05/06/2026","12:50 PM","05/06/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","05/06/2026","4:10 PM","05/06/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"MSC 1003","05/06/2026","10:45 AM","05/06/2026","12:00 PM","Music in Civilization","Newman Vertical Campus Rm 7-150","false"
"CHM 1004","05/06/2026","5:40 PM","05/06/2026","8:10 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","05/06/2026","2:30 PM","05/06/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 4560","05/10/2026","11:10 AM","05/10/2026","2:05 PM","Ethical Hacking","Newman Vertical Campus Rm 4-220","false"
"CIS 3500","05/11/2026","12:50 PM","05/11/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","05/11/2026","4:10 PM","05/11/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"CHM 1004","05/11/2026","5:40 PM","05/11/2026","6:30 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","05/11/2026","2:30 PM","05/11/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 3500","05/13/2026","12:50 PM","05/13/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","05/13/2026","4:10 PM","05/13/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"MSC 1003","05/13/2026","10:45 AM","05/13/2026","12:00 PM","Music in Civilization","Newman Vertical Campus Rm 7-150","false"
"CHM 1004","05/13/2026","5:40 PM","05/13/2026","8:10 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","05/13/2026","2:30 PM","05/13/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 4560","05/17/2026","11:10 AM","05/17/2026","2:05 PM","Ethical Hacking","Newman Vertical Campus Rm 4-220","false"
"CIS 3500","05/18/2026","12:50 PM","05/18/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","05/18/2026","4:10 PM","05/18/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"CHM 1004","05/18/2026","5:40 PM","05/18/2026","6:30 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","05/18/2026","2:30 PM","05/18/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 3500","05/20/2026","12:50 PM","05/20/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","05/20/2026","4:10 PM","05/20/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"MSC 1003","05/20/2026","10:45 AM","05/20/2026","12:00 PM","Music in Civilization","Newman Vertical Campus Rm 7-150","false"
"CHM 1004","05/20/2026","5:40 PM","05/20/2026","8:10 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","05/20/2026","2:30 PM","05/20/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 4560","05/24/2026","11:10 AM","05/24/2026","2:05 PM","Ethical Hacking","Newman Vertical Campus Rm 4-220","false"
