Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
"JPN 1002","03/23/2026","2:30 PM","03/23/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 3500","03/25/2026","12:50 PM","03/25/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","03/25/2026","4:10 PM","03/25/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"MSC 1003","03/25/2026","10:45 AM","03/25/2026","12:00 PM","Music in Civilization","Newman Vertical Campus Rm 7-150","false"
"CHM 1004","03/25/2026","5:40 PM","03/25/2026","8:10 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","03/25/2026","2:30 PM","03/25/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 4560","03/29/2026","11:10 AM","03/29/2026","2:05 PM","Ethical Hacking","Newman Vertical Campus Rm 4-220","false"
"CIS 3500","03/30/2026","12:50 PM","03/30/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","03/30/2026","4:10 PM","03/30/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"CHM 1004","03/30/2026","5:40 PM","03/30/2026","6:30 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","03/30/2026","2:30 PM","03/30/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 4560","04/12/2026","11:10 AM","04/12/2026","2:05 PM","Ethical Hacking","Newman Vertical Campus Rm 4-220","false"
"CIS 3500","04/13/2026","12:50 PM","04/13/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","04/13/2026","4:10 PM","04/13/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"CHM 1004","04/13/2026","5:40 PM","04/13/2026","6:30 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","04/13/2026","2:30 PM","04/13/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 3500","04/15/2026","12:50 PM","04/15/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","04/15/2026","4:10 PM","04/15/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"MSC 1003","04/15/2026","10:45 AM","04/15/2026","12:00 PM","Music in Civilization","Newman Vertical Campus Rm 7-150","false"
"CHM 1004","04/15/2026","5:40 PM","04/15/2026","8:10 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","04/15/2026","2:30 PM","04/15/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 4560","04/19/2026","11:10 AM","04/19/2026","2:05 PM","Ethical Hacking","Newman Vertical Campus Rm 4-220","false"
"CIS 3500","04/20/2026","12:50 PM","04/20/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","04/20/2026","4:10 PM","04/20/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"CHM 1004","04/20/2026","5:40 PM","04/20/2026","6:30 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","04/20/2026","2:30 PM","04/20/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 3500","04/22/2026","12:50 PM","04/22/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","04/22/2026","4:10 PM","04/22/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
"MSC 1003","04/22/2026","10:45 AM","04/22/2026","12:00 PM","Music in Civilization","Newman Vertical Campus Rm 7-150","false"
"CHM 1004","04/22/2026","5:40 PM","04/22/2026","8:10 PM","Fundamentals of Chemical Laboratory Techniques","Mon : 5:40 PM to 6:30 PM Online CoursesWed : 5:40 PM to 8:10 PM Lawrence & Eris Field Building Rm 811","false"
"JPN 1002","04/22/2026","2:30 PM","04/22/2026","3:45 PM","Elementary Japanese II","Lawrence & Eris Field Building Rm 1206","false"
"CIS 4560","04/26/2026","11:10 AM","04/26/2026","2:05 PM","Ethical Hacking","Newman Vertical Campus Rm 4-220","false"
"CIS 3500","04/27/2026","12:50 PM","04/27/2026","2:05 PM","Computer Networking","Lawrence & Eris Field Building Rm 1420","false"
"ANT 1001","04/27/2026","4:10 PM","04/27/2026","5:25 PM","Introduction to Cultural Anthropology","Lawrence & Eris Field Building Rm 1520","false"
